created_at,text
2021-12-04 4:43:42,"RT @RollingStone: From Olivia Rodrigo to Rauw Alejandro to Jazmine Sullivan, from groundbreaking hip-hop to truth-telling indie-rock, these…"
2021-12-04 4:43:39,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:43:35,RT @ZachFisch: When Olivia Rodrigo asked “who am I if not exploited?” she set off the labor shortage
2021-12-04 4:43:31,@jungkcore @BTS_twt OMG YOU'RE SO LUCK AF😭 SO ALEXA PLAY JEALOUSY JEALOUSY BY OLIVIA RODRIGO😭
2021-12-04 4:43:24,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:43:23,RT @PopBase: Rolling Stone names ‘SOUR’ by Olivia Rodrigo the best album of 2021. https://t.co/rHLirjdP9p
2021-12-04 4:43:18,"RT @RollingStone: From Olivia Rodrigo to Rauw Alejandro to Jazmine Sullivan, from groundbreaking hip-hop to truth-telling indie-rock, these…"
2021-12-04 4:43:14,RT @timeforjupiter: All these people saying Joshua Bassett is Olivia Rodrigo's John Mayer or Jake Gyllenhaal are so incorrect. He's a Disne…
2021-12-04 4:42:43,"RT @Itslivieqq: 🚨 | @RollingStone has named Olivia rodrigo's album ""Sour"" as the best album of 2021.

- Rodrigo pours out her heart about h…"
2021-12-04 4:42:37,"olivia rodrigo is so fucking cunt, main pop girl in the making"
2021-12-04 4:42:28,"RT @Spicytraitor: Olivia Rodrigo:
         😐
        ≤))≥
         / \ 
       /     \                    Me:
     /         \…"
2021-12-04 4:41:06,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:41:06,"RT @paytmitch: joshua bassett this and olivia rodrigo that 

but what about me https://t.co/PNdKqVVGHv"
2021-12-04 4:40:19,just switched this for Olivia Rodrigo updates account 💗
2021-12-04 4:40:13,My top artists of 2021 were Olivia Rodrigo and One Direction……..
2021-12-04 4:40:02,Olivia Rodrigo - good 4 u
2021-12-04 4:39:11,RT @naleymers: i don’t think it’s occurred to some of you that olivia rodrigo and joshua basset’s personal lives are none of our business a…
2021-12-04 4:39:06,"joshua bassett this and olivia rodrigo that 

but what about me https://t.co/PNdKqVVGHv"
2021-12-04 4:39:05,"RT @hqrodrigo: just olivia rodrigo holding the #1 album of the year, no biggie https://t.co/OS6JSD6WpM"
2021-12-04 4:39:04,We bump to Taylor Swift and Olivia Rodrigo in this household
2021-12-04 4:39:00,I stan Olivia Rodrigo.
2021-12-04 4:38:52,"RT @hqrodrigo: just olivia rodrigo holding the #1 album of the year, no biggie https://t.co/OS6JSD6WpM"
2021-12-04 4:38:43,RT @FTMAS0N: olivia rodrigo &amp; joshua bassett just need to get coffee and talk things out bc damn
2021-12-04 4:38:39,"RT @TheLordeCult: ""Its minimal production and multi-layered harmonies proved highly prescient of the way pop would turn; certainly it is ha…"
2021-12-04 4:38:34,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:38:30,RT @PopBase: Rolling Stone names ‘SOUR’ by Olivia Rodrigo the best album of 2021. https://t.co/rHLirjdP9p
2021-12-04 4:38:25,olivia rodrigo when she heard joshua bassett expose her for cheating &amp; letting him get hate while dying https://t.co/970VR7eKji
2021-12-04 4:38:14,RT @SaintEverlore: the demonization of olivia rodrigo is reminiscent to the demonization of taylor during the speak now era with john mayer…
2021-12-04 4:38:07,RT @livsreputation: As Olivia Rodrigo once said …… what do you want me to write about….. taxes????
2021-12-04 4:37:41,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:37:39,RT @taysdaisyy: we as a society need to protect olivia rodrigo from getting the taylor swift treatment
2021-12-04 4:37:35,RT @timeforjupiter: All these people saying Joshua Bassett is Olivia Rodrigo's John Mayer or Jake Gyllenhaal are so incorrect. He's a Disne…
2021-12-04 4:37:25,"RT @AdeleMuseum: Longest #1 solo songs on Billboard Hot100 in 2021:
#1 - BTS - Butter - 10 weeks at #1
#2 - Olivia Rodrigo - Drivers Licens…"
2021-12-04 4:37:18,RT @timeforjupiter: All these people saying Joshua Bassett is Olivia Rodrigo's John Mayer or Jake Gyllenhaal are so incorrect. He's a Disne…
2021-12-04 4:36:53,it seems like olivia rodrigo has found her teenage dream on ig n i am jealous
2021-12-04 4:36:09,RT @hoefornetflix: i just think olivia rodrigo and joshua bassett should settle their problems with a rap battle
2021-12-04 4:36:01,"RT @RollingStone: From Olivia Rodrigo to Rauw Alejandro to Jazmine Sullivan, from groundbreaking hip-hop to truth-telling indie-rock, these…"
2021-12-04 4:36:00,RT @SaintEverlore: the demonization of olivia rodrigo is reminiscent to the demonization of taylor during the speak now era with john mayer…
2021-12-04 4:35:43,RT @SaintEverlore: the demonization of olivia rodrigo is reminiscent to the demonization of taylor during the speak now era with john mayer…
